Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
3,108,1,22,1,0,523,7.25,47,2,0
1,190,0,38,1,0,596,71.2833,81,0,1
3,353,0,26,0,0,669,7.925,47,2,1
1,272,0,35,1,0,49,53.1,55,2,1
3,15,1,35,0,0,472,8.05,47,2,0
3,554,1,29,0,0,275,8.4583,47,1,0
1,515,1,54,0,0,85,51.8625,129,2,0
3,624,1,2,3,1,395,21.075,47,2,0
3,412,0,27,0,2,344,11.1333,47,2,1
2,576,0,14,1,0,132,30.0708,47,0,1
3,727,0,4,1,1,616,16.7,145,2,1
1,95,0,58,0,0,38,26.55,49,2,1
3,729,1,20,0,0,535,8.05,47,2,0
3,28,1,39,1,5,333,31.275,47,2,0
3,840,0,14,0,0,413,7.8542,47,2,0
2,359,0,55,0,0,153,16.0,47,2,1
3,682,1,2,4,1,480,29.125,47,1,0
2,867,1,29,0,0,151,13.0,47,2,1
3,839,0,31,1,0,301,18.0,47,2,0
3,512,0,29,0,0,184,7.225,47,0,1
2,273,1,35,0,0,139,26.0,47,2,0
2,80,1,34,0,0,152,13.0,111,2,1
3,523,0,15,0,0,278,8.0292,47,1,1
1,765,1,28,0,0,42,35.5,13,2,1
3,626,0,8,3,1,395,21.075,47,2,0
3,44,0,38,1,5,329,31.3875,47,2,1
3,240,1,29,0,0,179,7.225,47,0,0
1,260,1,19,3,2,95,263.0,63,2,0
3,605,0,29,0,0,283,7.8792,47,1,1
3,813,1,29,0,0,362,7.8958,47,2,0
1,828,1,40,0,0,598,27.7208,47,0,0
1,776,0,29,1,0,586,146.5208,41,0,1
3,289,0,29,0,0,288,7.75,47,1,1
2,856,1,66,0,0,549,10.5,47,2,0
1,535,1,28,1,0,600,82.1708,47,0,0
1,372,1,42,1,0,43,52.0,47,2,0
3,505,1,29,0,0,202,7.2292,47,0,1
3,134,1,21,0,0,514,8.05,47,2,0
3,837,0,18,2,0,302,18.0,47,2,0
3,589,0,14,1,0,186,11.2417,47,0,1
3,7,0,40,1,0,507,9.475,47,2,0
2,827,0,27,1,0,53,21.0,47,2,0
3,446,1,29,0,0,391,7.8958,47,0,0
2,456,0,3,1,2,634,41.5792,47,0,1
3,212,0,19,0,0,282,7.8792,47,1,1
3,697,1,29,0,0,617,8.05,47,2,0
3,473,1,29,1,0,462,15.5,47,1,0
3,604,0,29,0,0,76,7.75,47,1,1
3,726,1,29,2,0,190,21.6792,47,0,0
3,38,0,18,1,0,377,17.8,47,2,0
3,629,1,7,4,1,249,39.6875,47,2,0
3,594,1,21,0,0,522,7.8,47,2,0
1,333,0,49,1,0,587,76.7292,101,0,1
2,246,0,29,1,0,239,26.0,47,2,1
1,620,1,65,0,1,29,61.9792,23,0,0
1,873,1,29,0,0,94,35.5,71,2,1
2,707,0,21,0,0,555,10.5,47,2,1
3,595,1,28,0,0,215,7.2292,47,0,0
2,853,0,5,1,2,561,27.75,47,2,1
3,299,1,11,5,2,566,46.9,47,2,0
3,749,1,22,0,0,197,7.2292,47,0,0
1,385,0,38,0,0,32,80.0,21,2,1
1,337,1,45,1,0,457,83.475,80,2,0
3,755,1,4,3,2,337,27.9,47,2,0
1,784,1,29,0,0,601,27.7208,47,0,0
3,560,1,29,1,1,189,15.2458,47,0,1
2,596,0,29,0,0,553,10.5,142,2,1
3,185,1,19,0,0,623,8.1583,47,2,0
3,25,0,17,4,2,248,7.925,47,2,1
3,440,1,26,2,0,270,8.6625,47,2,0
2,396,1,32,0,0,557,10.5,47,2,0
3,300,0,16,5,2,566,46.9,47,2,0
2,376,1,21,0,0,621,73.5,47,2,0
3,161,1,26,1,0,204,14.4542,47,0,0
3,87,1,32,0,0,80,56.4958,47,2,1
3,546,1,25,0,0,347,7.65,140,2,0
3,778,1,29,0,0,355,7.8958,47,2,0
3,563,1,29,0,0,473,8.05,47,2,0
2,127,1,0,0,2,158,29.0,47,2,1
3,223,0,30,0,0,432,12.475,47,2,1
3,842,1,22,0,0,304,9.0,47,2,0
3,737,1,29,0,0,311,9.5,47,2,1
3,519,0,29,0,0,280,7.7875,47,1,1
1,141,1,28,0,0,25,47.1,47,2,0
2,386,0,17,0,0,637,10.5,47,2,1
3,52,0,33,3,0,247,15.85,47,2,1
3,255,1,16,1,3,676,34.375,47,2,0
3,764,1,29,0,0,652,8.05,47,2,0
1,259,0,23,3,2,95,263.0,63,2,1
3,149,1,24,0,0,297,8.05,47,2,0
3,159,1,29,0,0,298,8.05,47,2,0
3,31,1,20,0,0,341,7.8542,47,2,0
1,150,1,46,1,0,678,61.175,122,2,0
3,209,1,26,1,2,548,20.575,47,2,0
3,184,1,59,0,0,428,7.25,47,2,0
3,740,1,29,0,0,475,8.05,47,2,0
1,292,1,71,0,0,607,34.6542,12,0,0
1,308,1,23,0,1,612,63.3583,91,0,1
2,219,0,34,0,1,117,23.0,47,2,1
2,422,1,34,1,0,150,26.0,47,2,0
3,656,0,28,0,0,384,7.8958,47,2,0
3,658,1,29,0,0,361,7.8958,47,2,0
1,858,1,21,0,1,417,77.2875,98,2,0
3,405,1,33,0,0,505,8.6542,47,2,0
3,312,1,37,2,0,245,7.925,47,2,0
3,542,1,28,0,0,354,7.8958,47,2,0
3,724,0,21,0,0,296,7.65,47,2,1
3,559,1,29,0,0,254,7.775,47,2,1
3,675,1,38,0,0,388,7.8958,47,2,0
3,552,0,29,1,0,469,24.15,47,1,1
1,667,1,47,0,0,2,52.0,52,2,0
3,882,0,14,1,0,193,14.4542,47,0,0
3,67,1,22,0,0,274,8.05,47,2,0
3,417,0,20,1,0,491,9.825,47,2,0
3,46,0,17,0,0,176,14.4583,47,0,0
3,645,1,21,0,0,666,7.925,47,2,0
3,178,1,70,0,0,460,7.75,47,1,0
2,826,1,29,1,0,53,21.0,47,2,0
1,70,1,24,0,1,585,247.5208,36,0,0
3,24,0,2,4,2,333,31.275,47,2,0
2,362,1,21,2,0,621,73.5,47,2,0
3,551,1,29,0,0,540,8.05,47,2,0
2,575,1,32,1,0,132,30.0708,47,0,0
2,848,0,32,0,0,219,13.0,116,2,1
1,857,1,54,0,1,417,77.2875,98,2,0
3,588,1,12,1,0,186,11.2417,47,0,1
3,525,1,29,0,0,463,7.75,47,1,0
3,499,1,24,0,0,541,7.1417,47,2,1
3,653,0,29,1,1,196,22.3583,138,0,1
3,234,1,45,0,0,318,6.975,47,2,0
3,225,1,33,0,0,380,7.8958,47,0,0
3,165,1,20,0,0,640,7.05,47,2,0
3,695,0,47,1,0,537,14.5,47,2,0
2,851,0,29,1,0,111,26.0,47,2,1
2,772,1,25,0,0,552,13.0,47,2,0
2,685,1,23,0,0,630,15.0458,47,0,0
1,585,0,19,0,2,55,26.2833,107,2,1
1,271,1,37,1,0,49,53.1,55,2,0
3,618,1,16,0,0,504,9.2167,47,2,0
1,282,1,24,0,0,592,79.2,45,0,0
3,99,0,29,0,2,203,15.2458,47,0,0
3,597,0,22,0,0,332,7.75,47,2,1
3,319,0,24,1,0,668,15.85,47,2,1
3,116,1,19,0,0,438,6.75,47,1,0
2,32,1,18,0,0,118,11.5,47,2,0
2,586,1,19,1,1,558,36.75,47,2,0
3,29,1,27,0,0,405,7.7958,47,2,1
3,254,0,9,2,2,676,34.375,47,2,0
2,580,1,36,0,2,113,26.0,141,2,0
2,121,1,42,0,0,147,13.0,47,2,0
2,68,1,51,0,0,622,12.525,47,2,0
1,643,0,22,1,0,36,66.6,61,2,1
3,532,1,55,0,0,516,8.05,47,2,0
3,889,1,40,0,2,538,14.5,47,2,0
3,612,1,29,0,0,573,7.3125,47,2,0
1,866,1,51,0,1,595,61.3792,47,0,0
3,287,0,16,0,0,418,7.7333,47,1,1
3,181,1,30,0,0,654,8.05,47,2,0
3,767,1,29,0,0,258,8.6625,47,2,0
3,716,1,29,8,2,568,69.55,47,2,0
3,186,1,44,0,1,470,16.1,47,2,0
2,847,0,40,0,0,559,15.75,47,2,1
3,82,1,26,0,0,323,7.775,47,2,0
3,129,1,17,0,0,265,8.6625,47,2,0
3,628,1,1,4,1,249,39.6875,47,2,0
3,293,1,9,0,2,423,20.525,47,2,1
1,157,0,29,0,1,28,55.0,123,2,1
3,760,0,45,1,4,337,27.9,47,2,0
1,69,1,29,0,0,576,25.925,47,2,0
3,486,1,28,0,0,80,56.4958,47,2,0
1,832,1,61,0,0,5,33.5,18,2,0
3,680,1,4,4,1,480,29.125,47,1,0
3,408,0,1,1,1,344,11.1333,47,2,1
3,752,1,21,0,0,659,7.925,47,2,0
1,769,1,56,0,0,90,30.6958,14,0,0
3,444,1,18,1,1,412,7.8542,47,2,0
3,464,1,29,3,1,488,25.4667,47,2,0
1,388,0,50,0,0,593,28.7125,69,0,0
2,320,1,30,0,0,169,13.0,47,2,0
3,474,1,36,0,0,574,0.0,47,2,0
3,717,0,29,8,2,568,69.55,47,2,0
2,650,1,29,0,0,629,15.05,47,0,0
3,41,1,9,4,2,329,31.3875,47,2,0
2,76,1,1,2,1,114,39.0,144,2,1
3,441,0,4,0,2,271,22.025,47,2,1
1,700,1,29,0,0,34,50.0,9,2,0
3,601,0,29,1,0,459,15.5,47,1,1
1,698,1,45,0,0,11,26.55,47,2,1
3,101,1,40,1,1,435,15.5,47,1,0
3,823,1,36,0,0,386,7.8958,47,2,0
2,664,0,32,0,0,122,13.0,47,2,1
2,136,1,19,0,0,227,13.0,47,2,0
3,20,0,19,1,0,406,7.8542,47,2,1
2,579,1,3,1,1,113,26.0,141,2,1
1,113,0,44,0,0,604,27.7208,28,0,1
1,495,0,58,0,0,586,146.5208,43,0,1
3,533,1,29,0,0,452,7.75,47,1,0
3,611,1,42,0,1,494,8.4042,47,2,0
3,497,0,29,0,0,461,7.75,47,1,1
2,881,0,24,0,0,160,13.0,47,2,0
3,834,1,28,0,0,306,9.5,47,2,0
3,721,1,29,8,2,568,69.55,47,2,0
3,403,1,34,0,0,242,6.4958,47,2,0
3,878,1,45,0,0,177,7.225,47,0,0
3,166,1,18,0,0,530,8.05,47,2,1
3,789,0,2,0,1,316,10.4625,145,2,0
3,51,1,32,1,0,247,15.85,47,2,0
3,9,1,26,0,0,216,18.7875,47,0,1
3,140,0,16,0,0,445,7.75,47,1,1
1,94,1,40,0,0,17,31.0,8,0,1
3,12,1,24,0,0,642,7.05,47,2,0
2,131,0,35,0,0,570,21.0,47,2,1
3,649,1,22,0,0,526,7.25,47,2,0
2,288,1,30,0,0,163,13.0,47,2,0
3,437,1,29,1,0,443,7.75,47,1,0
1,582,0,31,1,0,416,113.275,103,0,1
3,375,0,27,0,0,670,7.925,47,2,1
2,390,1,42,1,0,142,27.0,47,2,0
1,72,0,32,0,0,63,76.2917,93,0,1
2,338,1,30,0,0,679,10.5,47,2,0
3,791,1,16,0,0,653,8.05,47,2,1
2,105,1,27,0,0,105,13.0,47,2,0
3,306,1,51,0,0,102,8.05,47,2,0
3,581,1,29,0,0,375,7.8958,47,2,0
1,379,1,38,1,0,93,90.0,87,2,1
3,83,1,22,0,0,615,9.35,47,2,0
2,531,1,19,0,0,672,10.5,47,2,1
3,492,1,20,0,0,525,7.25,47,2,0
